Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
DENND4A	3.66979	3.69653	3.57046	3.73138	3.57046	3.66979	4.77002	5.6942	7.29862	8.7281	4.68992	2.37226	3.93592
DENND4C	10.0035	11.4786	11.2466	12.259	11.2466	10.0035	14.1885	14.3784	17.3212	16.7102	13.3587	12.4038	10.5243
DEPDC7	6.63593	8.93068	8.67906	9.19905	8.67906	6.63593	20.9061	21.9244	23.7921	10.4895	19.1999	65.5698	8.58166
DESI2	94.9365	100.967	40.2914	51.0851	40.2914	94.9365	47.8571	61.964	15.7468	11.5617	46.0262	16.7643	18.555
DHRS3	7.79769	8.38324	1.90789	1.35952	1.90789	7.79769	3.15573	3.20565	23.5327	22.8522	3.04764	89.1838	39.3639
DIRC1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX4	1.52566	1.38717	1.84438	1.50043	1.84438	1.52566	1.20004	1.22453	1.45614	2.37764	1.22586	1	2.27692
DLX6	1.06539	1	1.2626	1.28013	1.2626	1.06539	1.15553	1.29926	1.8038	1	1.28096	1	1.12673
DMRT3	1.02765	1.03051	1	1	1	1.02765	1.13152	1.05061	1	1	1.2673	1	1
DNAH14	19.8221	19.5663	9.54385	11.6606	9.54385	19.8221	17.7254	17.6637	4.49698	3.58412	14.7699	1	1.47297
DNAH5	1.17419	1.14124	1.0571	1.08122	1.0571	1.17419	1.22321	1.27982	1.05036	1.2045	1.24057	1	1.00685
DNAH7	1.01793	1.03957	1.04114	1.0512	1.04114	1.01793	1.11086	1.14768	1.24392	1.20839	1.17332	1	1.00864
DNAJC1	10.0911	12.5353	17.942	26.7989	17.942	10.0911	19.9508	19.8416	13.0585	12.7739	21.3085	32.9336	17.9895
DNAJC22	1.10099	1.11145	2.31319	2.29788	2.31319	1.10099	1.28823	1.15405	10.8554	19.6932	1.47007	6.20253	17.248
DNAJC25	9.49578	10.6394	7.95342	11.7706	7.95342	9.49578	9.10779	12.9196	8.25682	8.21101	9.89808	5.18416	6.48061
DNAJC25-GNG10	1	1	1	1	1	1	1	1	1	1	1	1	1
DNAJC27	3.14872	3.20352	3.08171	2.95829	3.08171	3.14872	3.20539	3.63787	3.53546	3.2352	3.0555	2.25439	2.70919
DNAJC27-AS1	1	1	1.04207	1	1.04207	1	1.12791	1.04475	1.15488	1.22168	1.13129	1	1.07077
DNAJC5B	1	1.05127	1	1	1	1	1	1.04252	1	1	1	1	1.27086
DNAL4	4.15109	4.47773	13.1169	7.99291	13.1169	4.15109	9.66957	6.10579	8.92891	9.51625	7.90693	11.3593	18.5307
DND1	1.75391	2.31617	2.57717	1.89763	2.57717	1.75391	2.49453	1.93908	2.98014	3.17373	2.17619	7.90477	9.09233
DNM3OS	1.02114	1.01566	1	1	1	1.02114	1.10802	1.15933	4.48218	3.03111	1.27449	1.31241	2.50809
DOCK5	4.24041	4.98643	2.56906	2.84669	2.56906	4.24041	2.67578	2.58501	14.2252	20.2162	2.46098	10.6338	3.86639
DOCK7	14.0151	14.6937	29.0751	34.8892	29.0751	14.0151	25.6097	32.0536	11.1015	9.37244	25.0281	3.09211	3.65537
DPH5	44.8215	41.819	19.8254	24.3584	19.8254	44.8215	61.553	73.5755	12.2415	12.7326	61.4828	9.37264	13.3196
DPY19L2	2.77243	3.03441	2.65947	3.16658	2.65947	2.77243	2.42995	2.1421	3.9698	2.24136	2.11189	1	1.49284
DPYSL3	284.788	283.584	119.322	103.391	119.322	284.788	47.0565	52.1617	118.204	9.40433	77.646	16.3688	31.0425
DRD5	1.05031	1	1	1.07184	1	1.05031	1	1	1.07497	1.07942	1	1	1.29206
DSG2	125.21	130.724	104.278	124.769	104.278	125.21	294.64	266.519	53.4893	55.9731	194.332	36.9189	63.9758
DSP	22.5386	25.2124	54.7325	60.3821	54.7325	22.5386	116.956	111.928	72.4081	81.6121	102.209	78.0087	39.6204
DSPP	1.05295	1	1.01519	1.0189	1.01519	1.05295	1	1	1	1	1	1	1
DTNA	11.9222	12.0717	19.4546	24.7532	19.4546	11.9222	4.95639	4.01808	4.7887	7.60389	8.29623	2.61405	2.61347
DTWD1	17.3123	18.5521	11.0846	13.8725	11.0846	17.3123	15.6602	22.8784	6.51888	5.85701	13.1094	3.98692	6.76869
DUSP1	3.76168	3.08719	6.47637	7.73002	6.47637	3.76168	4.94112	5.14883	116.068	79.2992	6.51393	77.8286	224.81
DUSP5	10.7089	11.5856	50.7385	67.8717	50.7385	10.7089	10.1698	11.651	4.29334	22.7464	10.3433	36.2271	12.4605
DUT	57.7744	55.6932	21.8165	30.6521	21.8165	57.7744	55.0479	69.1787	22.6815	23.9481	53.689	10.9278	25.4356
DYNAP	1.20978	1.66151	1	1	1	1.20978	1.02851	1	1	1.11833	1	1	1
DYRK1B	2.63083	2.93625	5.42284	3.11713	5.42284	2.63083	2.19891	1.67849	12.8017	15.2005	2.75363	10.6458	8.88894
EBNA1BP2	75.4451	73.0731	47.1073	51.5813	47.1073	75.4451	59.7509	60.0544	17.2299	25.6448	62.0263	38.8163	17.5134
EDAR	1	1.03007	1.03126	1.01946	1.03126	1	17.3709	21.8379	1.93426	1.85961	13.4105	1	1.07892
EFCAB14-AS1	1.79536	1.68643	3.63746	2.41253	3.63746	1.79536	1.19794	1	1.73011	1.59532	1	1	1
EFNA1	1.99858	1.97396	1.59832	1.74468	1.59832	1.99858	16.6721	6.94596	55.006	56.019	11.6495	183.654	46.2662
EFNA3	3.25042	3.02517	3.62182	2.38433	3.62182	3.25042	11.9026	7.02096	3.78552	3.32483	10.8554	3.29365	2.61104
EGOT	1	1.09586	1	1.06202	1	1	1.04132	1	1.06469	1.13733	1	1	1.3374
EID1	140.175	136.547	99.5295	129.994	99.5295	140.175	145.032	186.289	96.3032	66.5678	155.32	86.5819	88.5268
EID3	2.54988	2.8531	2.03735	2.47601	2.03735	2.54988	1.08205	1	2.57119	2.12319	1.09255	1.95255	1.83612
EIF2B2	25.1906	23.4138	18.6288	25.3328	18.6288	25.1906	29.2627	33.8384	14.4223	13.499	30.5845	37.1371	24.6389
EIF4E	22.8568	21.9023	12.9028	17.7145	12.9028	22.8568	23.5634	27.752	5.01838	5.54943	20.0428	8.13525	7.46114
EIF5B	90.7187	95.3362	54.9817	73.4966	54.9817	90.7187	66.8564	81.1608	24.207	21.5923	63.6303	54.4655	14.2813
ELMOD1	1.76452	1.91653	1.04534	1.0282	1.04534	1.76452	1.39502	1.61005	1.20627	1.01556	1.90547	1	1.34399
ELOVL4	12.9367	13.1185	7.18955	8.86726	7.18955	12.9367	10.2088	10.9627	4.02233	1.72448	10.3496	1	2.22016
EMB	26.3138	28.3649	38.2144	54.1011	38.2144	26.3138	9.86335	11.4519	2.30946	35.5953	9.87803	27.9305	18.8065
EMC2	50.6136	52.6075	49.8629	73.8857	49.8629	50.6136	72.933	85.487	24.3696	31.5567	70.0156	47.8326	14.4689
EMC6	25.2014	25.5181	18.8669	14.7495	18.8669	25.2014	17.7123	19.134	16.5975	17.0608	21.4992	47.6737	70.2163
EMP3	11.2272	10.0685	10.5281	5.49371	10.5281	11.2272	26.6139	22.1221	30.1336	10.5006	24.5681	18.5479	24.9799
EN2	1.01712	1.03779	1.01964	1.19559	1.01964	1.01712	2.74289	3.06856	1	1	12.7336	1	1
ENO4	1.34903	1.6118	1.87162	1.90888	1.87162	1.34903	1.39066	1.31947	1.74972	1.85866	1.30876	1.90437	1.07939
ENPP2	3.12689	3.17288	2.92153	4.74594	2.92153	3.12689	18.9452	24.7707	13.1583	15.08	14.4219	4.95692	39.7489
EP400NL	2.22771	2.03881	2.73735	1.75971	2.73735	2.22771	1.35041	1.41203	4.01768	1.84099	1.65939	1.90479	2.50945
EPHA6	2.21663	2.51088	2.04694	2.04414	2.04694	2.21663	3.79626	3.50444	3.11229	1.54133	3.66743	1	1
EPHX2	6.65568	6.16465	3.00936	2.27089	3.00936	6.65568	13.9465	11.0905	57.3347	150.684	10.9918	151.719	30.1327
EPN2-IT1	1.08783	1.48474	1.20156	1.25104	1.20156	1.08783	1	1	1	1	1	1	1.34444
EPRS	97.2192	103.195	48.1805	65.4765	48.1805	97.2192	79.7492	92.125	29.865	27.4605	77.6792	20.2251	28.548
EREG	1	1	1.25505	1.31743	1.25505	1	1.01175	1.02261	1.23933	6.82366	1.01327	1	1.81047
ERG	1.21771	1.31795	1.0939	1.01734	1.0939	1.21771	2.35951	2.07453	3.21	2.75777	2.52224	3.92559	8.62247
ERI3-IT1	2.22146	2.6851	2.2494	2.04284	2.2494	2.22146	1.46731	1.2795	5.61426	2.47398	1	1	2.35027
ETV5	19.9073	18.8199	20.7802	22.3556	20.7802	19.9073	51.0038	47.4652	3.7266	2.8571	46.7839	1.30831	3.13798
EVPL	1.01712	1.02834	1.00982	1.01222	1.00982	1.01712	1	1	23.4723	20.5548	1.01839	17.3635	10.4102
EWSR1	140.859	126.218	138.179	147.283	138.179	140.859	93.19	92.2112	56.7207	64.5617	91.7647	102.929	71.6411
EXOC1	19.1662	20.4295	24.2991	29.255	24.2991	19.1662	25.622	28.2086	15.7616	17.2809	22.8856	18.0327	10.6023
F3	4.70259	4.41562	11.5111	11.4084	11.5111	4.70259	4.3553	3.99258	15.6549	22.8708	5.34771	13.6533	21.5334
FAF2	29.0962	28.7776	40.6966	52.7219	40.6966	29.0962	29.4663	33.2701	20.0342	23.1269	30.3909	8.52496	19.617
FAM111A	16.8828	19.0349	5.9409	6.1447	5.9409	16.8828	4.8928	5.40198	22.2731	29.6251	5.69732	17.5043	17.2547
FAM115A	4.91068	5.38778	7.97002	7.6637	7.97002	4.91068	10.5899	10.812	5.08381	6.7352	9.83933	3.19942	4.8997
FAM138D	1	1	1	1	1	1	1	1	1	1	1	1	1
FAM154B	1.28008	1.22668	2.32827	3.50636	2.32827	1.28008	1.07106	1.01709	1.19481	1.20624	1.1404	1.82217	1
FAM175A	22.6668	23.8155	14.9276	16.443	14.9276	22.6668	62.3424	69.4569	8.96613	8.29588	47.1034	2.93373	6.46232
FAM188A	12.5759	11.1374	27.131	38.0859	27.131	12.5759	22.1404	27.6268	16.6763	11.2902	20.7063	12.0945	8.54839
FAM20A	1.67158	1.89635	39.7344	37.883	39.7344	1.67158	1.0743	1.07148	4.61542	8.63171	1.18453	1	2.41774
FAM227B	2.37945	3.19672	2.49855	3.16329	2.49855	2.37945	3.1783	4.28123	1.92023	1.98682	3.20687	1	1.12421
FAM228B	2.58785	2.88559	4.09887	3.1742	4.09887	2.58785	4.80797	4.7376	3.85865	3.29763	4.46036	3.09779	3.14748
FAM229B	4.16683	3.9574	3.15982	3.34019	3.15982	4.16683	6.11976	6.53368	4.86169	2.50306	6.89956	3.43946	2.32774
FAM71F1	11.8457	13.3972	4.89919	5.11479	4.89919	11.8457	1.17301	1	1.08759	1	1.03906	1	1.07054
FANCI	56.7392	60.4444	34.1146	44.7792	34.1146	56.7392	61.9499	77.1822	8.46687	8.21893	57.7332	2.25759	5.19645
FANK1	1.35021	1.49695	6.10896	5.07229	6.10896	1.35021	3.99866	3.10646	3.08632	2.22674	3.68709	2.10804	1.97301
FBL	383.999	375.765	207.319	189.343	207.319	383.999	504.812	372.736	86.8389	92.1967	446.793	120.768	110.94
FCER1G	1.98817	1.779	2.78171	2.8143	2.78171	1.98817	1.67152	1.25842	16.6267	17.6468	2.66804	45.5402	47.143
FCHSD1	5.1563	5.02509	4.92521	2.88361	4.92521	5.1563	2.86714	2.23317	4.55935	5.34642	2.82094	11.2837	4.49957
FCRLA	1	1	1	1	1	1	1	1	1.02834	1.0501	1	1	2.54847
FER1L6-AS1	1	1	1	1	1	1	1	1	1.01928	1	1	1	1.05009
FGA	1	1.03006	1.0625	1.27941	1.0625	1	1.4923	1.32407	7.32611	14.65	1.29929	1	1
FGF13	23.7202	23.4358	44.5383	49.8081	44.5383	23.7202	24.9776	26.6304	22.39	3.20848	25.807	2.86339	11.2392
FGF13-AS1	7.51423	6.08063	6.8798	11.1706	6.8798	7.51423	2.40477	2.59001	1.51694	1.20671	2.39949	1	1.68071
FGFBP1	1.42608	1.627	1.05432	1	1.05432	1.42608	2.98179	1.95331	1.10577	1	2.16965	2.04798	5.3251
FGFBP2	1	1.12471	1	1	1	1	1	1	1.84129	1.04471	1	2.25281	4.85072
FGFR2	43.772	44.8306	19.5792	17.433	19.5792	43.772	13.8401	9.61959	20.9352	11.6348	9.88773	1.68891	3.05797
FIBP	33.4487	31.6554	28.6168	24.9547	28.6168	33.4487	27.0613	27.5323	19.8972	22.7612	28.9233	85.8583	13.823
FIGLA	1	1	1	1	1	1	1	1	1	1	1.11329	1	1
FKBP1A	135.348	136.867	88.6348	116.111	88.6348	135.348	159.929	210.6	55.0545	90.5829	158.515	101.279	205.988
FKBP1A-SDCBP2	1	1	1	1	1	1	1	1	1	1	1	1	1
FLJ12825	1.01462	1	1.03354	1.04174	1.03354	1.01462	8.84247	12.6787	1.26145	1.04611	6.88749	1.32154	1.02822
FLJ25758	1	1	1	1	1	1	1	1	1	1	1	1	1
FLJ37201	1.52137	1.61029	1.21753	1.22561	1.21753	1.52137	1.33068	1.56398	1.50634	1.4985	1.37337	1	1.15259
FLRT2	2.48823	2.78081	15.9457	18.2253	15.9457	2.48823	5.94809	7.1441	17.262	5.51982	7.10004	1.1721	3.79456
FOSL1	5.32886	5.20098	1.77072	1.5329	1.77072	5.32886	1.88759	2.09302	1.0278	1	2.28276	3.47352	5.41594
FOXD3	4.22407	4.1701	1.16815	1.50225	1.16815	4.22407	1.02788	1	2.85619	1.18516	1.06297	1	1.8515
FOXN3	30.3394	33.461	12.6753	12.7822	12.6753	30.3394	14.4086	12.9297	12.1183	15.6035	12.4252	46.825	16.6617
FOXN3-AS1	1.68839	1.41441	1.43083	1.53619	1.43083	1.68839	1.05954	1.68736	1.6988	1.69368	1.40334	6.55721	3.44032
FRG1B	1.07363	1	1	1	1	1.07363	1	1	8.61661	14.7701	1	10.8281	6.75506
FRY	2.928	3.19082	2.38931	2.12058	2.38931	2.928	1.52407	1.32821	4.22335	2.17958	1.50799	1.22825	3.3139
FRY-AS1	1.12612	1.13978	1.05788	1.03602	1.05788	1.12612	1	1	1.11317	1	1	1	1
FRZB	4.83692	4.43477	51.2365	86.84	51.2365	4.83692	3.96085	5.11675	22.6038	20.4459	4.25145	2.87817	6.39973
FUBP1	130.102	130.773	82.4913	107.691	82.4913	130.102	147.952	161.392	42.0792	44.32	149.314	15.8159	10.5378
FUT5	1	1	1	1	1	1	1.05827	1	1.04563	1	1.0329	1	1
FZD10	1.1775	1.07836	1	1.10139	1	1.1775	54.9023	52.6305	2.05828	1.4341	55.263	1	2.64632
FZD10-AS1	1	1.06943	1.07218	1	1.07218	1	2.8403	2.43943	2.31278	1.90556	3.09474	1.34605	1.82016
GAGE12J	1	1	1	1	1	1	1	1	1	1	1	1	1
GAGE13	1	1	1	1	1	1	1	1	1	1	1	1	1
GAGE2E	1	1	1	1	1	1	1	1	1	1	1	1	1
GAGE8	1	1	1	1	1	1	1	1	1	1	1	1	1
GALC	7.74974	8.63312	20.0835	22.7626	20.0835	7.74974	22.554	25.0194	31.0713	58.6587	26.5227	18.9807	20.1477
GALK2	5.97127	6.41046	4.50759	4.69872	4.50759	5.97127	7.87626	8.73004	6.61484	8.22974	7.9408	17.7042	12.2383
GALNT5	1.03733	1.103	1.14991	1.02665	1.14991	1.03733	1.53273	1.44419	25.6079	16.9196	1.5614	1.82189	5.18462
GANAB	157.465	154.464	232.404	219.002	232.404	157.465	251.729	215.76	96.2178	138.758	202.073	46.1917	108.946
GANC	3.84264	3.7245	3.03135	3.38574	3.03135	3.84264	2.8504	3.12257	5.16337	5.32608	2.54015	4.83846	2.99752
GAS2	1.39023	1.39756	1.65441	1.42866	1.65441	1.39023	2.54217	2.26388	4.25227	3.08584	2.03184	2.98694	1.87161
GATA6	1.06118	1.03376	99.0122	129.864	99.0122	1.06118	1.96039	1.71397	33.4324	58.2931	3.44801	29.2683	24.8392
GATA6-AS1	1	1	44.0171	38.4815	44.0171	1	1.49221	1.34726	11.4833	24.3507	1.37049	10.9013	6.41651
GATM	13.5001	14.3908	56.1591	52.1925	56.1591	13.5001	7.78627	9.35529	22.2789	26.3794	9.54919	123.301	35.8715
GATS	7.12492	7.0764	41.3243	41.195	41.3243	7.12492	7.11306	6.87383	15.1947	9.61427	8.62184	6.49243	4.13053
GBX2	1.04831	1.05331	1	1	1	1.04831	5.64161	5.9077	1	1	8.83518	2.06948	1
GCGR	1	1	1.0339	1	1.0339	1	1	1	2.54102	1.07	1	5.56309	1.45784
GDAP2	6.54357	7.35445	4.72632	6.77142	4.72632	6.54357	7.08852	7.59794	5.28363	6.99542	6.70293	4.79908	3.26769
GDF11	7.40816	7.45698	10.3163	10.5047	10.3163	7.40816	24.5368	26.6867	5.30185	3.36895	25.8319	2.95294	3.62178
GDI2	276.991	286.043	238.437	342.174	238.437	276.991	311.521	387.877	97.1885	153.515	306.552	259.514	155.24
GDNF	1.11132	1.08775	2.27777	2.29494	2.27777	1.11132	10.8086	8.65957	7.85446	2.07392	9.71827	1	1.64532
GGT6	1.06225	1.03435	1	1	1	1.06225	1	1	2.64958	3.13293	1	26.4052	58.4222
GHR	1.07976	1.2054	1.64027	2.23324	1.64027	1.07976	4.26121	3.69973	6.65638	8.90118	3.85439	2.16983	2.82281
GHRHR	1	1	1	1	1	1	1	1	1.02901	1	1	1	1
GJB2	1.07702	1.085	1.08837	1.07332	1.08837	1.07702	1	1.0235	9.3025	2.72273	1.08273	8.35788	17.6953
GJC1	40.2119	43.1332	22.5809	22.2564	22.5809	40.2119	32.0424	33.6222	5.72429	2.44211	28.9779	1.16137	3.13915
GLIDR	1.32178	1.1522	1.10549	1.13129	1.10549	1.32178	1.04373	1.06311	1.49669	1.81632	1.04938	1	1.93365
GLOD4	56.7708	53.6902	47.2559	62.0088	47.2559	56.7708	89.7715	96.9386	37.6382	58.7701	89.1551	108.841	52.7507
GLRX3	83.5106	77.4946	59.4855	80.0046	59.4855	83.5106	66.0581	94.7842	17.571	19.0825	73.0943	31.8189	20.2068
GLYCTK	1.54016	1.41596	2.06521	1.40244	2.06521	1.54016	1.52209	1.32848	25.5424	54.6033	1.40861	71.9653	61.3127
GMNC	1.04792	1.08815	1.03666	1.09125	1.03666	1.04792	1.06079	1.04386	1.09525	1.08821	1.0858	1	1
GNG12	24.5035	26.4809	7.81269	8.45848	7.81269	24.5035	35.116	46.4277	57.9049	55.1516	36.8959	157.588	55.8296
GNG12-AS1	1.02959	1.02951	1.12666	1.39863	1.12666	1.02959	1.64925	1.65077	1.4703	1.12742	1.55844	1	1.26529
GOLGA5	27.16	25.9218	26.9545	32.3141	26.9545	27.16	19.2663	24.2021	18.7715	20.3467	20.4984	27.9966	15.1811
GOLPH3L	20.0766	20.7737	26.0151	28.7937	26.0151	20.0766	16.1885	18.663	19.0185	15.4116	16.2304	17.2155	14.5939
GOT2	131.18	125.048	62.687	70.626	62.687	131.18	92.4194	106.389	25.8093	24.1663	84.9942	38.8978	68.6341
GP9	1	1	1	1	1	1	1	1	1.24861	1.19876	1	1	1
GPAM	9.13427	9.20657	8.5984	11.5931	8.5984	9.13427	11.2537	13.0095	8.38842	10.6829	10.526	2.16559	14.9678
GPC6-AS2	1	1	1	1.52359	1	1	1	1	1	1	1	1	1
GPHB5	1	1	1	1	1	1	1	1	1	1	1	1	1
GPR133	1.03164	1.01164	1.21783	1.16567	1.21783	1.03164	1.02007	1.02896	3.55514	23.653	1.02266	1	5.64008
GPR137B	6.20176	6.80658	1.6821	1.42447	1.6821	6.20176	11.8309	14.2496	4.63198	5.60067	11.3132	6.24634	4.74235
GPR37	3.2392	3.23754	13.8288	13.9416	13.8288	3.2392	1.96441	1.67856	2.21788	1.66829	2.00763	1	1.46753
GPR39	1.54678	1.27326	4.87928	3.54241	4.87928	1.54678	1.49125	1	6.9455	7.63159	1.45713	5.13835	7.40284
GRAMD3	10.5046	10.2807	4.75288	5.60154	4.75288	10.5046	3.79026	3.02782	13.6707	15.857	3.01174	13.0781	9.52988
GRAP2	1	1.0411	1.34174	1.71795	1.34174	1	1.29595	1.08522	1.41129	1.76816	1.31656	1.72645	1.8997
GRIA3	2.73321	2.91282	1.6857	2.15654	1.6857	2.73321	3.13862	3.39562	1.68997	1.17329	3.69345	1	1.44476
GRPEL2	24.3183	24.3242	14.3856	16.5594	14.3856	24.3183	20.9195	22.9457	8.83946	9.26214	19.5191	5.62107	14.3048
GTF2A1	25.7652	27.6693	26.388	33.1212	26.388	25.7652	25.4679	31.579	10.3589	10.8215	24.2703	8.7235	9.70346
GTF2H5	4.00853	3.91465	4.91679	6.42114	4.91679	4.00853	5.96076	7.33144	3.556	2.65596	5.71459	4.62634	4.0672
GTF3C5	23.9782	21.0015	28.7646	14.3664	28.7646	23.9782	32.094	17.9144	21.2191	22.6012	25.7257	24.4624	28.4728
GUCY2F	1.09382	1.06903	1	1	1	1.09382	1	1.02862	1	1.02467	1.0168	1	1
GYPC	10.1789	9.42192	10.7695	7.94881	10.7695	10.1789	32.4578	22.0537	11.8294	6.34257	34.0227	47.5841	33.0816
H2BFXP	1.61189	1.19295	1.50148	1.4993	1.50148	1.61189	1.08316	1.56006	1	1	1.18779	1	1
HAND1	1	1.03931	1.49037	1.86459	1.49037	1	4.96435	2.07574	5.00618	1.19696	3.4867	1	1.41439
HARS	35.7416	33.4577	28.1193	32.926	28.1193	35.7416	36.9853	36.423	20.6851	20.0275	37.177	39.8633	22.2547
HARS2	20.2141	17.7284	20.614	23.6045	20.614	20.2141	17.7064	21.3008	15.2004	15.9725	17.9459	19.2735	16.569
HBS1L	25.1252	25.9365	22.2838	27.3713	22.2838	25.1252	24.1837	28.6039	8.08895	7.97662	22.8303	6.52066	6.46508
HDAC3	73.3946	68.3617	48.4551	50.2478	48.4551	73.3946	62.7992	66.3147	19.9137	23.132	60.6301	41.8603	18.9367
HDAC9	10.1416	10.4474	1.53791	1.48945	1.53791	10.1416	2.10486	2.41714	5.6784	1.8941	4.1205	1.92555	2.93832
HDC	1.06723	1.02473	1.41139	1.32	1.41139	1.06723	1.66091	2.23066	1.15029	1	2.51651	1	1.13003
HEPH	31.6004	29.5548	36.3527	31.8969	36.3527	31.6004	39.7049	31.478	97.698	123.474	30.795	106.876	28.4445
HES1	6.91099	6.80418	5.88716	5.96526	5.88716	6.91099	19.9383	18.7824	46.6754	31.0991	20.8888	10.614	36.0333
HHEX	1.42161	1.58164	41.3121	50.5695	41.3121	1.42161	1.46796	1.83611	4.53336	3.60912	1.86803	4.10374	7.54013
HIGD1A	37.0232	36.1946	79.63	131.736	79.63	37.0232	41.5179	50.0303	15.6114	21.3889	40.8188	108.995	64.3539
HIST1H2AB	1.20011	1.44172	1	1	1	1.20011	1.76154	1.73265	1.14844	1	1.64488	1	1
HIST1H2AG	1.18582	1.41017	1.21321	1.53071	1.21321	1.18582	2.59108	1.34016	2.9305	3.52605	2.59685	1	13.2594
HIST1H2AH	1	1.43534	1.67888	1.28164	1.67888	1	2.12581	1.18052	1.29263	1	2.48299	1	12.8567
HIST1H2BB	1	1	1	1	1	1	1	1	1	1	1	1	5.86632
HIST1H2BJ	1.98612	1.653	2.13146	1	2.13146	1.98612	4.00217	1.54156	2.46313	3.8414	2.69484	1	11.2758
HIST1H2BK	9.9477	9.54585	9.19342	12.4259	9.19342	9.9477	5.25633	6.43362	15.4019	59.2152	8.76312	95.0091	55.2701
HIST1H3B	1.20385	1.89991	1.23389	1.58219	1.23389	1.20385	5.2666	2.11949	1.3024	1.16324	6.0363	1	17.3622
HIST1H3C	1	1	1	1	1	1	1	1	1	1	1	1	7.89335
HIST1H4I	1.32839	1	1.75358	1.46894	1.75358	1.32839	1.31242	1.30058	1.72843	2.3282	1.35275	1	14.5252
HIST3H3	1	1.21767	1	1	1	1	1	1	1	1	1	1	1
HLA-DRA	5.25318	5.02347	1.0581	1.28922	1.0581	5.25318	3.21588	2.43667	103.367	187.917	2.03339	626.807	320.189
HMGB4	1	1	1	1	1	1	1	1	1	1	1	1	1
HMGXB4	25.9875	26.9989	22.7001	26.8025	22.7001	25.9875	28.0548	32.0644	8.24424	8.03904	27.7553	8.6409	9.28998
HNRNPA3	82.7457	85.323	64.4352	87.5094	64.4352	82.7457	105.103	118.055	32.729	38.7401	96.4546	24.9994	48.529
HNRNPC	191.141	188.622	130.448	175.06	130.448	191.141	203.238	237.12	33.5359	71.7837	198.512	100.869	160.22
HNRNPH3	226.283	231.747	141.416	190.213	141.416	226.283	289.492	316.678	68.9666	71.5827	279.806	92.515	49.8282
HOTAIRM1	1	1	1	1	1	1	28.928	42.5655	8.67786	7.59697	21.3302	11.6876	8.67047
HOXA-AS3	1	1	1	1	1	1	84.238	95.1866	4.0414	3.70679	70.5055	1	1.26439
HOXA1	1.02553	1.02817	1	1	1	1.02553	26.2609	38.1304	2.12287	2.83339	19.179	1	1.40597
HOXA10-AS	1	1	1	1	1	1	2.04663	1.49152	7.78646	7.13048	1.89953	1	1
HOXA3	1	1	1	1	1	1	13.1313	16.337	15.1576	14.486	11.921	1	4.00847
HOXA4	1	1	1	1	1	1	11.334	7.85773	9.49216	6.63625	6.12156	1.79183	5.79702
HOXA5	1.0376	1	1	1	1	1.0376	41.1721	33.2473	41.8365	25.3631	32.9886	2.66158	8.95097
HOXA6	1	1	1	1	1	1	5.27439	2.23645	15.4359	18.5455	2.96563	1	1.35832
HOXA7	1.03017	1	1	1	1	1.03017	34.3911	42.079	4.11073	6.35311	27.0529	2.99688	1.85861
HOXA9	1.02903	1	1	1.12586	1	1.02903	64.6202	81.6448	23.8326	29.7769	49.7907	1	1.11375
HOXB-AS1	1	1	1	1	1	1	4.05535	3.41534	1.49578	1.15169	3.65079	1	1.37211
HOXB-AS3	1.40637	1.18158	1	1	1	1.40637	1319.41	1190.37	37.2291	7.00785	825.61	1	9.47224
HOXB2	1.03908	1	1	1	1	1.03908	32.9744	38.2717	14.2739	4.30453	28.6639	9.63718	11.0863
HOXB3	1.06401	1.05298	1.03672	1	1.03672	1.06401	55.1108	54.0871	23.7065	6.88151	41.847	1.7043	6.77871
HOXB4	1	1.03297	1	1	1	1	22.5979	19.9196	9.23439	3.21732	15.9523	1	7.82744
HOXB5	1	1	1.03877	1	1.03877	1	5.59716	5.6699	49.0447	7.19196	5.10114	1	8.33562
HOXB6	1	1	1	1.053	1	1	7.48889	6.71756	27.2899	7.89141	11.3302	1	8.55959
HOXB7	1	1	1	1	1	1	19.9657	28.1545	14.3754	8.84485	23.7774	2.0407	4.83813
HOXB8	1.03375	1.07449	1	1.14457	1	1.03375	28.8987	30.188	5.8016	2.09291	27.3526	1	1.26166
HOXB9	1.04378	1.12079	1.07534	1.15628	1.07534	1.04378	230.899	242.474	20.5246	9.04972	192.554	1	1.04233
HOXC-AS1	1	1	1	1	1	1	23.6637	12.0474	1.3538	1.12672	16.8653	1	1
HOXC-AS2	1	1	1	1	1	1	8.79628	4.00024	1.67574	1.72788	5.69473	1	1
HOXC-AS3	1	1	1	1	1	1	3.21315	2.82504	1.73707	1	3.8558	1	1
HOXC10	1.03113	1	1	1	1	1.03113	76.4629	75.168	2.80903	1.66381	66.8088	1	1
HOXC4	1	1.08248	1.04288	1.05336	1.04288	1	72.5542	87.4701	5.89202	3.90923	59.2112	1	2.08738
HOXC5	1	1	1	1	1	1	6.57776	7.13611	2.57363	2.89259	6.2593	1	2.0541
HOXC6	1	1.16329	1.04244	1	1.04244	1	145.771	126.073	5.41016	6.58233	111.152	2.6344	3.00902
HOXC8	1	1.02893	1	1.07487	1	1	47.9639	49.2301	1.89855	2.69709	35.4683	1	1.05074
