Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FSI1	FSI2	AS1	ASI2	ASI3
SUPT4H1	49.193	48.4982	42.9925	53.2062	42.9925	49.193	54.8957	61.1954	24.2564	29.773	57.815	73.0695	45.8451
TAS2R42	1	1.16274	1.08459	1	1.08459	1	1	1	1.05487	1	1	1	1
TEX38	1	1.09205	1.1914	1.35732	1.1914	1	1	1	1.06206	1.19845	1	1	1.16331
THUMPD3	30.3279	34.2958	18.6179	23.7419	18.6179	30.3279	25.0964	19.8615	12.0568	11.9219	24.1531	8.40569	12.1382
TIAM2	4.53634	4.78884	2.99398	3.65708	2.99398	4.53634	2.09412	1.94645	2.61943	4.34299	2.39522	9.55839	3.03423
TJP2	52.486	50.3962	12.8492	13.3045	12.8492	52.486	35.2326	38.6814	38.8715	64.3096	29.8994	79.1476	27.0747
TLE1	21.2313	19.4923	12.2691	13.5744	12.2691	21.2313	6.07053	5.9598	11.0033	8.24229	10.5736	5.3162	9.43886
TM2D3	16.6787	17.5649	16.5459	18.545	16.5459	16.6787	25.4398	27.7104	23.4809	21.6853	25.5213	32.1819	29.9865
TOMM5	158.443	143.616	70.0445	111.978	70.0445	158.443	148.872	198.896	54.8227	71.2698	163.521	123.227	110.507
TOMM7	161.382	141.096	132.256	129.895	132.256	161.382	138.308	126.839	87.0775	126.429	136.027	408.497	186.719
TP63	1.04988	1.02695	1	1.03202	1	1.04988	1.11615	1.22828	1.00929	1.02802	1.18753	1	1.04814
TPST2	17.9719	18.8392	11.0143	10.4636	11.0143	17.9719	10.0729	10.5277	7.09325	17.5203	8.53544	14.5579	26.8741
TRIM11	4.14137	4.24879	6.67119	4.60754	6.67119	4.14137	5.3053	3.11122	7.48264	7.06784	5.48348	23.2618	18.3761
TRIM17	1.26649	1.29322	3.38202	2.50763	3.38202	1.26649	4.16385	2.37535	1.9581	1.41357	4.47894	1.65327	2.49246
TRIM2	21.9097	22.8993	23.2791	37.0623	23.2791	21.9097	28.6583	30.738	44.6207	47.8989	27.67	13.4576	18.656
TRIM71	33.2513	34.0255	18.1563	12.3276	18.1563	33.2513	17.1034	12.743	4.21957	4.57004	12.6613	1	1
TUBA4A	15.3449	14.4887	5.97361	4.80498	5.97361	15.3449	9.70442	6.25199	17.3719	15.1792	6.77285	48.2616	54.5024
TUBA4B	1.13939	1.10257	1	1	1	1.13939	1	1	1.0692	1.03674	1	1	1.09029
TYW5	9.67839	8.80009	9.39307	10.3102	9.39307	9.67839	5.33035	5.82757	4.91651	5.86524	5.19808	2.2269	3.19177
UGT2B15	1	1.02936	1	1	1	1	1	1	2.07022	13.9985	1.02857	1.58648	7.33302
WDR74	30.2661	30.8112	16.1458	11.8673	16.1458	30.2661	25.1784	15.834	9.64108	12.2556	22.7486	28.0347	12.9609
WNT5A	2.13766	2.22208	1.53595	1.76886	1.53595	2.13766	91.7153	102.446	5.71183	4.60271	84.7611	1.60306	2.13662
XBP1	86.3099	83.9699	87.806	114.98	87.806	86.3099	67.5184	70.2184	124.109	126.038	82.6377	111.476	218.65
ZC3H13	30.5217	32.2704	27.7124	34.233	27.7124	30.5217	28.2154	31.6223	16.216	14.7395	26.2351	6.60943	7.09512
ZCCHC11	22.4915	23.6941	69.7418	81.7117	69.7418	22.4915	27.8212	30.7567	13.1676	15.725	28.3684	2.0637	3.48392
ZDHHC18	11.2193	10.3064	18.3427	13.9187	18.3427	11.2193	26.0411	23.3876	9.2959	8.68104	24.6945	6.32769	8.95061
ZNF608	17.2766	17.5343	42.683	44.977	42.683	17.2766	16.3037	17.8923	19.8171	15.4957	19.2067	2.9864	7.52871
ZNF740	15.4134	15.0772	19.7964	21.8328	19.7964	15.4134	24.0255	23.0164	12.3099	13.5463	20.9001	6.33815	13.5213
